order_id,first_name,last_name,email,age,city,product,category,quantity,unit_price,total_amount,payment_method,status,order_date,_source_file,_source_type,_row_hash
ORD0032,Ali,Cherif,ali.cherif501@email.com,26,Setif,Smartwatch,Electronics,2,95325.52,190651.04,BaridiMob,completed,2025-01-11,ecommerce_orders.csv,CSV,5ecc94b4cda12bb94f236d4eb4df85169d31c5239ab9b65608bf6592a4462caf
ORD0110,Bilal,Boudiaf,bilal.boudiaf974@email.com,21,Annaba,Router,Peripherals,2,147148.69,294297.38,BaridiMob,returned,2025-11-12,ecommerce_orders.csv,CSV,d40cb5baebbf00f42d68abd409ab47070d4a425faa972ee87c1939cff69e6e0e
ORD0137,Amine,Ferhat,amine.ferhat594@email.com,48,Tlemcen,RAM 16GB,Networking,10,48819.63,488196.3,BaridiMob,pending,2025-08-03,ecommerce_orders.csv,CSV,7e6f59c8f7d69ba9934aca229f73be84ef70f133d0c95b9a7ff21bb06456fbbd
ORD0089,Amine,Mansouri,amine.mansouri502@email.com,47,Tiaret,Tablet,Storage,9,72909.04,656181.36,BaridiMob,returned,2025-09-13,ecommerce_orders.csv,CSV,34c408c3eaf424d441d2b97795f11d8533d28c444d945d1b3ad33bf33e75dd5a
ORD0919,Ahmed,Cherif,ahmed.cherif458@email.com,34,Mostaganem,Mouse,Electronics,1,19757.99,19757.99,CIB,pending,2025-02-18,ecommerce_orders.csv,CSV,8458a735f2bd2fd23b3f2ae520e1e6b6fdf274bfaed7a492888098c10bbc1403
ORD0965,Sara,Mansouri,sara.mansouri836@email.com,52,Oran,Router,Peripherals,4,109706.26,438825.04,BaridiMob,pending,2025-05-01,ecommerce_orders.csv,CSV,2dc0f4ca40bdb2e330b4da79f6811b778b02172269d59c96d666d992aa187b63
ORD0871,Ahmed,Khelifi,ahmed.khelifi868@email.com,64,Sidi Bel Abbes,Mouse,Peripherals,4,31269.71,125078.84,Cash,pending,2025-11-23,ecommerce_orders.csv,CSV,331c302d758e2076740772d302f4de1ac9a6db0353f3dfd26155c715975277bd
ORD0319,Lina,Boudiaf,lina.boudiaf558@email.com,38,Mostaganem,Webcam,Peripherals,10,75607.79,756077.9,Dahabia,shipped,2025-03-01,ecommerce_orders.csv,CSV,82bf73659d09058a329a784b7ac098eff6a66a82c35af90d482cef885ced3550
ORD0262,Bilal,Saidi,bilal.saidi69@email.com,51,Setif,Laptop,Electronics,1,127452.41,127452.41,Cash,pending,2025-12-08,ecommerce_orders.csv,CSV,3c1491d8bff63d548ed60bb4eac95abdb838c8eed49c9afeba230b485813cf45
ORD0536,Djamila,Khelifi,djamila.khelifi611@email.com,56,Annaba,Monitor,Electronics,6,12381.58,74289.48,Dahabia,pending,2025-09-28,ecommerce_orders.csv,CSV,585a255112ce417dc89f11a9e71ad8f02f59c97481f5d190554bf4c7f4398270
ORD0920,Sara,Meziane,sara.meziane128@email.com,51,Bejaia,Keyboard,Peripherals,9,26154.68,235392.12,Cash,pending,2025-05-02,ecommerce_orders.csv,CSV,20f73d6813f6c1c2b1c2b43c52bdda8462741c2ba448d99da17fa9595dd3d18c
ORD0597,Sara,Mansouri,sara.mansouri271@email.com,65,Mostaganem,Router,Electronics,1,25556.26,25556.26,Dahabia,cancelled,2025-05-16,ecommerce_orders.csv,CSV,be4e32644e2b9a1cf9e851a34520b3fbdd59bda5412a48e088d4227726d2d5f0
ORD0077,Khaled,Taleb,khaled.taleb118@email.com,37,Bejaia,Monitor,Accessories,5,124081.36,620406.8,Cash,completed,2025-03-26,ecommerce_orders.csv,CSV,f6e67e1ec2bc1e62091eb17168d59fca82ed5e2a5f5fc7197c2efb82216364e6
ORD0108,Meriem,Meziane,meriem.meziane100@email.com,65,Annaba,Smartwatch,Networking,3,58602.55,-175807.65,BaridiMob,returned,2025-07-19,ecommerce_orders.csv,CSV,13d930fbe0a0d809a059fbabb1c6bf376346ee6fd27ce70a10826c8e20e4e259
ORD0425,Amine,Bouzid,amine.bouzid580@email.com,65,Djelfa,Mouse,Peripherals,7,25711.61,179981.27,BaridiMob,pending,2025-04-23,ecommerce_orders.csv,CSV,1c6a90b8e6d01a21d65513bb708b54f68827e22e41684c824d6c313626ea341e
ORD0585,Samira,Bouzid,samira.bouzid296@email.com,60,Tiaret,RAM 16GB,Accessories,3,2234.61,6703.83,Cash,pending,2025-12-16,ecommerce_orders.csv,CSV,056275fd7551b082e28865efd24b64650e31db58af1bf66ee66a806f5027d80c
ORD0854,Youssef,Belkacem,youssef.belkacem744@email.com,24,Sidi Bel Abbes,Smartwatch,Accessories,8,61986.08,495888.64,Credit Card,completed,2025-06-03,ecommerce_orders.csv,CSV,5c371c7c899857774791e2d7b76801a2726b952cdf9b8d254e4e99b5e9f9ca26
ORD0665,Lina,Bouzid,lina.bouzid55@email.com,50,Setif,Mouse,Storage,6,7782.88,46697.28,BaridiMob,returned,2025-11-03,ecommerce_orders.csv,CSV,7d6a44de46894efca1e1792eac59b4c06c3cd0c17ef42216cc24a4c3e51a6b86
ORD0830,Mohamed,Khelifi,mohamed.khelifi55@email.com,23,Biskra,Power Bank,Peripherals,3,127799.64,383398.92,Credit Card,cancelled,2025-04-24,ecommerce_orders.csv,CSV,5b1f3da5ae9e0c72d0509260231e020df09e7d1e4ccbc8207223d0d123c88e31
ORD0421,Youssef,Hamidi,youssef.hamidi216@email.com,32,Sidi Bel Abbes,USB Cable,Peripherals,4,62191.85,248767.4,Credit Card,pending,2025-03-06,ecommerce_orders.csv,CSV,084dd3323f05bad3229f3235ea2d2c2120c54d40344daddf2ef9ea53dd1c5206
ORD0598,Yasmine,Khelifi,yasmine.khelifi389@email.com,46,Biskra,USB Cable,Storage,8,39762.46,318099.68,Credit Card,cancelled,2025-01-10,ecommerce_orders.csv,CSV,bd8a7ad301e88e105a30baa4c2af406aa96d0a7cc1ba008b281b5bf505affc62
ORD0459,Meriem,Meziane,meriem.meziane265@email.com,18,Alger,Headphones,Accessories,4,120124.13,480496.52,Dahabia,shipped,2025-09-18,ecommerce_orders.csv,CSV,efd7e8a8f46bf278173ab66a903455739ca45a622284414e74b47bbbbee765a9
ORD0313,Bilal,Cherif,bilal.cherif767@email.com,32,Bejaia,Monitor,Electronics,8,15735.15,125881.2,CIB,completed,2025-01-02,ecommerce_orders.csv,CSV,7bb2af287b3af294e57cb3509f6338d59e03d50b9c62e511bbca8aaf952465d4
ORD0650,Ali,Saidi,ali.saidi189@email.com,28,Annaba,Printer,Electronics,6,146714.37,880286.22,CIB,shipped,2025-08-18,ecommerce_orders.csv,CSV,ef95f24e1e39f3e5f3b1fcf4dbd4ffcfb8c36d96cf6ee971ddb44306a8cc57f2
ORD0366,Mohamed,Zidane,mohamed.zidane733@email.com,18,Constantine,Power Bank,Electronics,8,50228.1,401824.8,CIB,shipped,2025-11-02,ecommerce_orders.csv,CSV,257df97146b8f1f66385323a4f9f10a29acf1f4ff2acabdaea18e58803119a0f
ORD0322,Lina,Mebarki,lina.mebarki860@email.com,62,Unknown,Tablet,Accessories,4,89081.67,356326.68,BaridiMob,returned,2025-01-23,ecommerce_orders.csv,CSV,a8a645157ed5b4ddafdd2de24f28a3b158d5655257c196cdcc6eb51fb59da816
ORD0630,Omar,Boudiaf,omar.boudiaf738@email.com,21,Annaba,RAM 16GB,Peripherals,5,30730.53,153652.65,CIB,completed,2025-12-19,ecommerce_orders.csv,CSV,6ea4934adbc5dbeeea3806839f166f97026504d8d0ae8c1a241b1bfdedb1292e
ORD0915,Youssef,Meziane,youssef.meziane501@email.com,62,Biskra,RAM 16GB,Networking,4,3942.5,15770.0,Credit Card,returned,2025-08-09,ecommerce_orders.csv,CSV,042a038cd5b957b128566708356997b950fd52385a399e6efdf6d3624d98c857
ORD0469,Nour,Cherif,nour.cherif443@email.com,44,Tiaret,Headphones,Accessories,3,120105.6,360316.8,CIB,cancelled,2025-01-06,ecommerce_orders.csv,CSV,1e0d889cc2f56c025b739c536c80b18e2e82be755524902f3d02bf00f38bbf9f
ORD0599,Rachid,Mansouri,rachid.mansouri324@email.com,35,Bejaia,RAM 16GB,Electronics,2,137697.97,275395.94,BaridiMob,cancelled,2025-10-21,ecommerce_orders.csv,CSV,b6a07e0ee6d6ebdf9bc4afc1c0c2df4060d346492f156a9d34c02238e3936e3e
ORD0395,Bilal,Mansouri,bilal.mansouri604@email.com,55,Bejaia,Tablet,Storage,1,79789.47,79789.47,Cash,returned,2025-07-27,ecommerce_orders.csv,CSV,b74232fe15c546c9aaca15a1015f8864fd6203e67c039b02c9ea26c9693446e8
ORD0537,Meriem,Belkacem,meriem.belkacem666@email.com,44,Blida,Tablet,Storage,8,71340.11,570720.88,CIB,pending,2025-04-02,ecommerce_orders.csv,CSV,33f1ee28cf2a7e79c87af5aff77ed49ecb8b43e7fb75700fc983922242dc8a0e
ORD0721,Karim,Taleb,karim.taleb792@email.com,65,Chlef,Smartwatch,Storage,8,18217.6,145740.8,CIB,pending,2025-05-10,ecommerce_orders.csv,CSV,d91e0341e95ef6f83c69fc323e2b80ad01007f78c38080e2951045a14a32006b
ORD0334,Youssef,Saidi,youssef.saidi609@email.com,21,Djelfa,Smartwatch,Storage,1,64982.84,64982.84,CIB,returned,2025-07-06,ecommerce_orders.csv,CSV,fc3f7199e4c04d2c252270bd10134db15ec678ddb8809570c233ad77a314888d
ORD0410,Nour,Mebarki,nour.mebarki219@email.com,59,Biskra,Mouse,Peripherals,6,44389.37,266336.22,Credit Card,returned,2025-08-18,ecommerce_orders.csv,CSV,bf4c66085530c1377acfb2b7a2a5ad1f278acaa2d56093baf76d5bf35539fc49
ORD0060,Khaled,Meziane,khaled.meziane607@email.com,54,Sidi Bel Abbes,Router,Accessories,2,104730.35,209460.7,BaridiMob,returned,2025-02-26,ecommerce_orders.csv,CSV,e5fd43fc63209cab4040bf98ba20a92890fd3453c0606d1738f1dfe70b45edc9
ORD0257,Samira,Cherif,samira.cherif38@email.com,60,Mostaganem,Mouse,Networking,10,95907.96,959079.6,Cash,completed,2025-04-22,ecommerce_orders.csv,CSV,6da683cb2a3916a0f68b22a3814626775c38548753761e9315ceb37085be32a7
ORD0970,Fatima,Belkacem,fatima.belkacem540@email.com,18,Constantine,USB Cable,Electronics,10,15409.63,154096.3,Dahabia,completed,2025-02-27,ecommerce_orders.csv,CSV,1c51954634d1e9bf1d8b3311107bf9877358f661dfa865252f3723b22816695e
