customer_id,first_name,last_name,email,age,city,country,status,signup_date,total_purchases,_source_file,_source_type,product_id,name,category,brand,price,stock,supplier,rating,created_at,_row_hash
1,Ahmed,Benali,ahmed.benali@mail.com,34,Oran,Algeria,active,2023-01-15,1250.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,8bbe4d2a5adb1a32569539ad34fecf19b925868bf207cd415bcd3a52ccd770e4
2,Sara,Kaci,sara.kaci@mail.com,28,Algiers,Algeria,active,2023-02-10,890.5,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,9b209ca9b62aabc04b088badc82fa1fd930e94c23f697df856be5b354aa95ca8
3,Mohamed,Hamdi,m.hamdi@mail.com,45,Constantine,Algeria,inactive,2022-11-05,3200.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,308af7ab7a8f2ef8e1e6332ce0453ae638123ebdd9dca409119b4ce4bf800b66
4,Fatima,Zerrouk,fatima.z@mail.com,31,Oran,Algeria,active,2023-03-20,460.75,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,1dd5402768238be5e308f0bebb0f8deaffd8e3c727a7e2c53df07b1d7bbe2b9a
5,Khaled,Mansouri,k.mansouri@mail.com,29,Annaba,Algeria,active,2023-04-15,1100.25,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,37651465aedadea87cf036fb7c6a9f88351e34927894b029477a1df325f48b6b
6,Sara,Kaci,sara.kaci@mail.com,28,Algiers,Algeria,active,2023-02-10,890.5,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,daf3bd55b2eb65bcacea38f02d95556add40ed849d0161ba6169d2e759db8595
7,Omar,Boudiaf,omar.b@mail.com,52,Tlemcen,Algeria,inactive,2021-08-30,5600.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,5d55fe24cd3a8a14e0b55ba616c3b47fd6d0168523a61bf1c2e382f3639ba6ff
8,Nadia,Rahmani,nadia.r@mail.com,32,Setif,Algeria,active,2023-05-01,320.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,9042996d569f5cb97c3f7011a8d14287fb2b3d68ea118b188080b78c1e5cc8c5
9,Younes,Belkacem,younes.b@mail.com,38,Oran,Algeria,active,2023-06-20,780.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,4ac173d374505597c8ec73a70c85592e7e01968be8c15a8a682235aa1d57314b
10,Amina,Chouibi,amina.c@mail.com,26,Algiers,Algeria,active,2023-07-11,215.5,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,fa6892d1ecbfca60fda1303e2e305e7c05ff2d93a3d2d335d9a48a58c4964848
11,Tariq,Benmousa,Unknown,41,Blida,Algeria,active,2023-08-05,934.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,bcbdb2faaac7e388a6aa6be2beec1ed81333411a4f59f06c12649fd16ba33e73
12,Leila,Hadj,leila.hadj@mail.com,33,Oran,Algeria,active,2023-09-12,1690.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,2bd587fbc136aebef3d062d1cc09be58ef4be174d16e8629b668a62030357944
13,Riad,Saidani,riad.s@mail.com,-5,Biskra,Algeria,active,2023-10-01,450.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,b9f68cea06a636d00cee35b7d12c51254aa5e55ca16ba49a1fed623919e3e69a
14,Meryem,Ouali,meryem.o@mail.com,29,Tizi Ouzou,Algeria,pending,2023-11-18,123.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,f7dc03221fbe7e133da96fae23e03466de896255b01d13c544b7ddc292b54458
15,Ahmed,Benali,ahmed.benali@mail.com,34,Oran,Algeria,active,2023-01-15,1250.0,customers.csv,CSV,Unknown,Unknown,Unknown,Unknown,20575.0,80,Unknown,4.375,,01767b24d7d52bee185a81cb584b315eef22ed6edf7624c08eb347c4a1fccaf2
Unknown,Unknown,Unknown,Unknown,32,Unknown,Unknown,Unknown,,1276.9666666666667,products.json,JSON,P001,Laptop Pro 15,Electronics,TechPro,85000.0,42,GlobalTech DZ,4.5,2023-01-10,0d153af2ed4bc03785c0a31f6d56a45b8616728deabe67fa53ee54f366a8d167
